"","BANDFINAL","Species1","sp2","sp2.fct","Beak.LengthA","Beak.LengthB","Beak.LengthC","Beak.DepthA","Beak.DepthB","Beak.DepthC","Beak.WidthA","Beak.WidthB","Beak.WidthC","Tarsus","Wing.Chord","Mass","Year","By.","Site","Sex0","MedianBeakLength","MedianBeakWidth","MedianBeakDepth","avg.mbl","avg.mbw","avg.mbd","age","age.ad","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015","y.2016","y.2017","y.2018","y.2019","y.2020","ch","maxseen","ch.corr","maxseen.corr","X.corr.y.2003","X.corr.y.2004","X.corr.y.2005","X.corr.y.2006","X.corr.y.2007","X.corr.y.2008","X.corr.y.2009","X.corr.y.2010","X.corr.y.2011","X.corr.y.2012","X.corr.y.2013","X.corr.y.2014","X.corr.y.2015","X.corr.y.2016","X.corr.y.2017","X.corr.y.2018","X.corr.y.2019","X.corr.y.2020","date2","scaled.mbl","scaled.mbd","scaled.mbw","sp.mean.bl","sp.mean.bd","sp.sd.bl","sp.sd.bd","pc1.new","pc2.new","pc1.bod","pc2.bod","mxcpois"
"21","AH0018","scandens","scandens","scandens",14.190,14.73,14.340, 8.670, 8.590, 8.570, 8.860, 8.01, 7.86,21.21,75.00,19.00,2020,"CB","El Garrapatero","f",14.340, 8.010000, 8.590,14.340000, 8.010000, 8.590000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-10, 0.102889932,-0.069539240,-0.5495561539,14.251929, 8.627551,0.8559749,0.5400007, 4.376028e-02, 7.396926e-01, 0.3434677421,-1.0526773774, 0
"22","AH0019","fortis","fortis large","fortis large",12.530,12.57,12.330,11.700,12.170,12.440,11.020,10.87,10.90,22.55,77.00,24.30,2020,"CB","El Garrapatero","f",12.530,10.900000,12.170,12.530000,10.900000,12.170000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-09,-0.717324562,-0.839427481,-0.5002698575,13.007307,12.886966,0.6653983,0.8541130, 2.573275e-01,-1.031552e-01, 0.6035164707,-0.5201306573, 0
"23","AH0020","scandens","scandens","scandens",14.700,14.22,14.280, 8.710, 8.110, 8.790, 8.040, 8.66, 8.28,25.06,74.00,NA,2020,"CB","El Garrapatero","f",14.280, 8.280000, 8.710,14.280000, 8.280000, 8.710000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-09, 0.032794417, 0.152682681, 0.0365197862,14.251929, 8.627551,0.8559749,0.5400007, 5.746655e-02, 7.011221e-01,NA,NA, 0
"24","AH0021","scandens","scandens","scandens",13.840,13.98,13.950, 8.880, 8.800, 8.880, 8.160, 8.09, 8.13,21.40,69.00,20.10,2020,"MP","El Garrapatero","f",13.950, 8.130000, 8.880,13.950000, 8.130000, 8.880000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-09,-0.352730915, 0.467497070,-0.2890779583,14.251929, 8.627551,0.8559749,0.5400007, 4.701204e-02, 6.352360e-01, 0.1463266019,-0.1735054835, 0
"25","AH0022","fortis","fortis small","fortis small",12.620,12.61,12.700,11.470,11.640,11.720, 9.800, 9.29, 9.55,21.70,71.00,18.80,2020,"PC","El Garrapatero","m",12.620, 9.550000,11.640,12.620000, 9.550000,11.640000,"m","m",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-08, 2.086219542, 1.745876743, 0.3153903277,11.369052,10.448229,0.5996244,0.6826201, 1.838482e-01, 4.573075e-02, 0.1856526223,-0.5911810636, 0
"26","AH0024","fortis","fortis small","fortis small",10.770,10.77,11.030,12.100,10.690,12.500,10.040,10.23,10.75,28.90,74.00,32.10,2020,"CB","El Garrapatero","f",10.770,10.230000,12.100,10.770000,10.230000,12.100000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-08,-0.999044922, 2.419750792, 1.5762754097,11.369052,10.448229,0.5996244,0.6826201, 1.581152e-01,-3.673419e-01, 0.7957433413, 1.0609891322, 0
"27","AH0025","fortis","fortis large","fortis large",13.020,13.11,13.080,12.120,12.200,12.110,10.690,10.64,10.78,22.27,68.00,25.20,2020,"CB","El Garrapatero","f",13.080,10.690000,12.120,13.080000,10.690000,12.120000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-12, 0.109248010,-0.897967746,-0.8079598383,13.007307,12.886966,0.6653983,0.8541130, 2.689776e-01, 1.168000e-02, 0.2784981883, 0.6821062586, 0
"28","AH0026","fortis","fortis large","fortis large",14.570,13.66,13.520,14.620,14.250,14.930,12.180,12.64,12.15,25.98,79.00,24.80,2020,"JB","El Garrapatero","f",13.660,12.180000,14.620,13.660000,12.180000,14.620000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-07, 0.980906358, 2.029045479, 1.3751738352,13.007307,12.886966,0.6653983,0.8541130, 4.721000e-01,-2.188143e-01, 0.7299505620,-0.6242452588, 0
"29","AH0027","fortis","fortis small","fortis small",11.610,11.55,11.490,10.060, 9.900, 9.740, 9.080, 9.27, 9.40,20.56,68.00,18.90,2020,"PC","El Garrapatero","f",11.550, 9.270000, 9.900,11.550000, 9.270000, 9.900000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-10, 0.301769285,-0.803125095,-0.2037976473,11.369052,10.448229,0.5996244,0.6826201, 4.429319e-02, 4.262638e-02, 0.0610268695,-0.2386350897, 0
"30","AH0028","fortis","fortis small","fortis small",11.950,11.70,11.810, 9.360, 9.240, 9.590, 8.440, 8.89, 8.65,27.02,74.00,14.90,2020,"CB","El Garrapatero","f",11.810, 8.650000, 9.360,11.810000, 8.650000, 9.360000,"f","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,000000000000000001,1,000000000000000001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-02-09, 0.735374020,-1.594194631,-1.3534281632,11.369052,10.448229,0.5996244,0.6826201, 4.624498e-03, 1.785542e-01, 0.2283766934,-1.3994761783, 0
